date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:21	16814/16814	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jan%202020%2017:40:00%20GMT	http://www.loc.gov/static/collections/american-federation-of-labor-records/155_155.jpg	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/static/collections/american-federation-of-labor-records/155_155.jpg	(from https://www.loc.gov/collections/)
20:31:21	6162/6162	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Nov%202018%2023:20:16%20GMT	http://www.loc.gov/static/collections/federal-writers-project/155_155.jpg	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/static/collections/federal-writers-project/155_155.jpg	(from https://www.loc.gov/collections/)
20:31:21	207235/207235	---M-Z	200	added ('OK')	text/html	etag:%22500330c271b1715a8c11350636d5d7bc%22	https://www.loc.gov/collections/american-federation-of-labor-records/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/collections/american-federation-of-labor-records/index.html	(from https://www.loc.gov/collections/)
20:31:22	206941/206941	---M-Z	200	added ('OK')	text/html	etag:%223cb093de660cb6e0c35728f6461f930f%22	https://www.loc.gov/collections/world-war-i-and-1920-election-recordings/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/collections/world-war-i-and-1920-election-recordings/index.html	(from https://www.loc.gov/collections/)
20:31:22	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	http://www.loc.gov/item/mm82055715/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/item/mm82055715/index.html	(from https://www.loc.gov/collections/)
20:31:22	97407/97407	---M-Z	200	added ('OK')	text/html	etag:%220099ebd302c76690fb0381af6ac2110d%22	https://www.loc.gov/collections/federal-writers-project/about-this-collection/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/collections/federal-writers-project/about-this-collection/index.html	(from https://www.loc.gov/collections/)
20:31:23	215434/215434	---M-Z	200	added ('OK')	text/html	etag:%220497536b7bd6a01b64249d0a3cb6ae88%22	https://www.loc.gov/collections/federal-writers-project/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/collections/federal-writers-project/index.html	(from https://www.loc.gov/collections/)
20:31:24	84151/84151	---M-Z	200	added ('OK')	text/html	etag:%2280703d770afc93341cefc36f5033677f%22	https://www.loc.gov/collections/american-music-creators-web-archive/about-this-collection/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/collections/american-music-creators-web-archive/about-this-collection/index.html	(from https://www.loc.gov/collections/)
20:31:24	7751/7751	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2019:26:09%20GMT	http://www.loc.gov/static/collections/american-music-creators-web-archive/155_155.jpg	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/static/collections/american-music-creators-web-archive/155_155.jpg	(from https://www.loc.gov/collections/)
20:31:24	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	http://www.loc.gov/item/2019210590/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/item/2019210590/index.html	(from https://www.loc.gov/collections/)
